DATE,PCE
1959-01-01,309.4666666666666667
1959-04-01,315.5000000000000000
1959-07-01,320.7333333333333333
1959-10-01,322.8666666666666667
1960-01-01,326.3666666666666667
1960-04-01,332.2000000000000000
1960-07-01,332.1333333333333333
1960-10-01,334.0333333333333333
1961-01-01,334.5333333333333333
1961-04-01,339.4666666666666667
1961-07-01,342.3666666666666667
1961-10-01,349.6000000000000000
1962-01-01,354.8666666666666667
1962-04-01,360.4666666666666667
1962-07-01,364.3666666666666667
1962-10-01,370.6000000000000000
1963-01-01,374.2666666666666667
1963-04-01,378.4333333333333333
1963-07-01,385.4000000000000000
1963-10-01,390.0333333333333333
1964-01-01,399.6000000000000000
1964-04-01,407.5333333333333333
1964-07-01,416.4000000000000000
1964-10-01,419.0000000000000000
1965-01-01,429.7000000000000000
1965-04-01,436.6333333333333333
1965-07-01,445.8000000000000000
1965-10-01,459.7666666666666667
1966-01-01,470.1333333333333333
1966-04-01,475.1666666666666667
1966-07-01,484.3333333333333333
1966-10-01,490.0666666666666667
1967-01-01,494.3333333333333333
1967-04-01,503.4333333333333333
1967-07-01,510.7000000000000000
1967-10-01,518.2333333333333333
1968-01-01,536.2666666666666667
1968-04-01,550.0333333333333333
1968-07-01,566.1333333333333333
1968-10-01,574.9333333333333333
1969-01-01,587.0333333333333333
1969-04-01,598.3666666666666667
1969-07-01,608.6000000000000000
1969-10-01,620.6000000000000000
1970-01-01,631.6666666666666667
1970-04-01,641.5666666666666667
1970-07-01,653.5000000000000000
1970-10-01,660.1666666666666667
1971-01-01,679.1666666666666667
1971-04-01,693.2333333333333333
1971-07-01,705.6000000000000000
1971-10-01,721.7000000000000000
1972-01-01,738.9666666666666667
1972-04-01,757.3666666666666667
1972-07-01,775.7666666666666667
1972-10-01,800.5000000000000000
1973-01-01,825.0333333333333333
1973-04-01,840.5333333333333333
1973-07-01,858.8666666666666667
1973-10-01,873.9000000000000000
1974-01-01,891.8666666666666667
1974-04-01,920.4000000000000000
1974-07-01,949.2666666666666667
1974-10-01,959.0666666666666667
1975-01-01,985.2000000000000000
1975-04-01,1013.5666666666666667
1975-07-01,1047.2000000000000000
1975-10-01,1076.2666666666666667
1976-01-01,1109.9000000000000000
1976-04-01,1129.5333333333333333
1976-07-01,1158.8000000000000000
1976-10-01,1192.4333333333333333
1977-01-01,1228.2000000000000000
1977-04-01,1256.0000000000000000
1977-07-01,1286.9000000000000000
1977-10-01,1324.8000000000000000
1978-01-01,1354.0333333333333333
1978-04-01,1411.4000000000000000
1978-07-01,1442.2333333333333333
1978-10-01,1481.3333333333333333
1979-01-01,1517.1333333333333333
1979-04-01,1557.6333333333333333
1979-07-01,1611.8666666666666667
1979-10-01,1655.0666666666666667
1980-01-01,1702.3000000000000000
1980-04-01,1704.7000000000000000
1980-07-01,1763.8000000000000000
1980-10-01,1831.8666666666666667
1981-01-01,1885.7000000000000000
1981-04-01,1917.5666666666666667
1981-07-01,1958.0666666666666667
1981-10-01,1974.4333333333333333
1982-01-01,2014.1333333333333333
1982-04-01,2039.6333333333333333
1982-07-01,2085.6333333333333333
1982-10-01,2145.5666666666666667
1983-01-01,2184.6000000000000000
1983-04-01,2249.4333333333333333
1983-07-01,2319.9000000000000000
1983-10-01,2372.5000000000000000
1984-01-01,2418.1666666666666667
1984-04-01,2475.8666666666666667
1984-07-01,2513.5333333333333333
1984-10-01,2561.7666666666666667
1985-01-01,2636.0333333333333333
1985-04-01,2681.7666666666666667
1985-07-01,2754.1666666666666667
1985-10-01,2779.4000000000000000
1986-01-01,2823.6333333333333333
1986-04-01,2851.4666666666666667
1986-07-01,2917.2000000000000000
1986-10-01,2952.8000000000000000
1987-01-01,2983.5000000000000000
1987-04-01,3053.3333333333333333
1987-07-01,3117.3333333333333333
1987-10-01,3150.9333333333333333
1988-01-01,3231.8666666666666667
1988-04-01,3291.7000000000000000
1988-07-01,3361.9000000000000000
1988-10-01,3434.5333333333333333
1989-01-01,3490.1666666666666667
1989-04-01,3553.8000000000000000
1989-07-01,3609.4000000000000000
1989-10-01,3653.7000000000000000
1990-01-01,3737.9333333333333333
1990-04-01,3783.4333333333333333
1990-07-01,3846.7000000000000000
1990-10-01,3867.9333333333333333
1991-01-01,3873.5666666666666667
1991-04-01,3926.9333333333333333
1991-07-01,3973.2666666666666667
1991-10-01,4000.0333333333333333
1992-01-01,4100.4000000000000000
1992-04-01,4155.6666666666666667
1992-07-01,4227.0000000000000000
1992-10-01,4307.2000000000000000
1993-01-01,4349.5000000000000000
1993-04-01,4418.6000000000000000
1993-07-01,4487.1666666666666667
1993-10-01,4552.6666666666666667
1994-01-01,4621.2333333333333333
1994-04-01,4683.1666666666666667
1994-07-01,4752.7333333333333333
1994-10-01,4826.7000000000000000
1995-01-01,4862.4666666666666667
1995-04-01,4933.6000000000000000
1995-07-01,4998.6666666666666667
1995-10-01,5055.6666666666666667
1996-01-01,5130.6000000000000000
1996-04-01,5220.5333333333333333
1996-07-01,5274.5000000000000000
1996-10-01,5352.7666666666666667
1997-01-01,5433.1000000000000000
1997-04-01,5471.2333333333333333
1997-07-01,5579.1666666666666667
1997-10-01,5663.6333333333333333
1998-01-01,5721.3333333333333333
1998-04-01,5832.5666666666666667
1998-07-01,5926.8666666666666667
1998-10-01,6028.2333333333333333
1999-01-01,6102.0333333333333333
1999-04-01,6230.6333333333333333
1999-07-01,6335.3333333333333333
1999-10-01,6467.0333333333333333
2000-01-01,6618.2333333333333333
2000-04-01,6711.9000000000000000
2000-07-01,6819.9666666666666667
2000-10-01,6918.6000000000000000
2001-01-01,6995.3000000000000000
2001-04-01,7042.2333333333333333
2001-07-01,7070.3333333333333333
2001-10-01,7187.3000000000000000
2002-01-01,7217.7333333333333333
2002-04-01,7307.9666666666666667
2002-07-01,7397.1333333333333333
2002-10-01,7472.9666666666666667
2003-01-01,7567.1333333333333333
2003-04-01,7661.4666666666666667
2003-07-01,7820.9333333333333333
2003-10-01,7913.4666666666666667
2004-01-01,8048.7666666666666667
2004-04-01,8147.1000000000000000
2004-07-01,8283.3333333333333333
2004-10-01,8448.6666666666666667
2005-01-01,8551.7333333333333333
2005-04-01,8701.1333333333333333
2005-07-01,8868.1000000000000000
2005-10-01,8955.2666666666666667
2006-01-01,9100.1666666666666667
2006-04-01,9227.6666666666666667
2006-07-01,9353.8000000000000000
2006-10-01,9427.3666666666666667
2007-01-01,9572.1333333333333333
2007-04-01,9678.7333333333333333
2007-07-01,9798.3666666666666667
2007-10-01,9937.1333333333333333
2008-01-01,10004.4666666666666667
2008-04-01,10129.9000000000000000
2008-07-01,10159.0666666666666667
2008-10-01,9906.9333333333333333
2009-01-01,9814.9666666666666667
2009-04-01,9805.5000000000000000
2009-07-01,9939.4000000000000000
2009-10-01,10005.0000000000000000
2010-01-01,10101.8333333333333333
2010-04-01,10208.1333333333333333
2010-07-01,10300.7666666666666667
2010-10-01,10430.3333333333333333
2011-01-01,10558.2000000000000000
2011-04-01,10673.0333333333333333
2011-07-01,10755.0333333333333333
2011-10-01,10809.1666666666666667
2012-01-01,10959.3000000000000000
2012-04-01,11005.0333333333333333
2012-07-01,11059.3666666666666667
2012-10-01,11165.6666666666666667
2013-01-01,11277.6666666666666667
2013-04-01,11315.7000000000000000
2013-07-01,11408.3666666666666667
2013-10-01,11551.2333333333333333
2014-01-01,11646.0000000000000000
2014-04-01,11810.4333333333333333
2014-07-01,11959.8333333333333333
2014-10-01,12081.5666666666666667
2015-01-01,12119.8000000000000000
2015-04-01,12264.1333333333333333
2015-07-01,12382.5000000000000000
2015-10-01,12423.3666666666666667
2016-01-01,12523.1666666666666667
2016-04-01,12665.1333333333333333
2016-07-01,12797.1333333333333333
2016-10-01,12921.9666666666666667
2017-01-01,13097.3333333333333333
2017-04-01,13188.7666666666666667
2017-07-01,13325.0666666666666667
2017-10-01,13551.400000000000
2018-01-01,13745.066666666667
2018-04-01,13891.266666666667
2018-07-01,14002.200000000000
2018-10-01,14099.200000000000
2019-01-01,14148.000000000000
2019-04-01,14336.766666666667
2019-07-01,14517.700000000000
2019-10-01,14667.966666666667
2020-01-01,14473.133333333333
2020-04-01,13168.9333333333333333
2020-07-01,14456.166666666667
2020-10-01,14726.700000000000
2021-01-01,15217.700000000000
2021-04-01,15950.866666666667
2021-07-01,16285.100000000000
2021-10-01,16718.200000000000
2022-01-01,17030.633333333333
2022-04-01,17415.100000000000
2022-07-01,17684.200000000000
2022-10-01,17917.066666666667
2023-01-01,18269.566666666667
2023-04-01,18419.000000000000
2023-07-01,18679.500000000000
2023-10-01,18914.500000000000
2024-01-01,19191.566666666667
